bill_id,username_id,bill_date
bchi1,chi,2024-01-22 12:00:00+00:00
bchien1,chien,2024-01-22 13:05:00+00:00
bdat1,dat,2023-12-03 08:00:00+00:00
bdat2,dat,2024-01-10 10:45:00+00:00
bhieu1,hieu,2024-03-05 18:15:00+00:00
bhoan1,hoan,2023-12-05 14:30:00+00:00
bhoan2,hoan,2024-01-11 18:15:00+00:00
bhoan3,hoan,2024-02-15 18:15:00+00:00
bhoan4,hoan,2024-03-18 15:15:00+00:00
bhung1,hung,2024-01-23 12:00:00+00:00
bkhang1,khang,2024-01-23 12:00:00+00:00
blinh1,linh,2024-03-03 14:30:00+00:00
bloan1,loan,2024-02-26 18:15:00+00:00
bminh1,minh,2024-02-24 14:30:00+00:00
bquang1,quang,2024-03-02 08:00:00+00:00
bthanh1,thanh,2024-03-06 12:00:00+00:00
bthao1,thao,2024-03-04 10:45:00+00:00
btrung1,trung,2024-02-25 10:45:00+00:00
